Section,Subsection,Name,Cost (MiB),Description
games,board,xfrisk,1,Server and X11 client for playing risk with humans or AIs
games,board,xgammon,1,Implementation of backgammon under X
games,board,xmabacus,2,simulation of the ancient calculator (Motif version)
games,board,xmahjongg,1,tile-based solitaire game
games,board,xshogi,1,X11 frontend to gnushogi
games,board,xvier,1,"a ""Four in a row"" game"
games,card,ace-of-penguins,1,penguin-themed solitaire games
games,card,aisleriot,7,GNOME solitaire card game collection
games,card,deal,1,bridge hand generator
games,card,dealer,1,bridge hand generator
games,card,gnome-games,18,games for the GNOME desktop
games,card,gsalliere,43,Bridge duplicate scorer (GUI frontend)
games,card,kdegames,140,games from the official KDE release
games,card,lmemory,1,"Children's game based on the ""memory"" card game"
games,card,openpref,1,card game against two virtual players
games,card,pescetti,43,Bridge Pseudo-duplimate generator
games,card,pokerth,27,Texas hold'em game
games,card,pysolfc,17,collection of more than 1000 solitaire card games
games,card,tenace,5,Bridge hand viewer and editor
games,card,xmille,N/A,N/A
games,card,xpat2,1,Generic patience game for X11
games,card,xskat,1,"3-player card game ""Skat"""
games,card,xsol,2,Solitaire game for the X Window system
games,card,yahtzeesharp,21,game similar to poker with dice and less money
games,chess,3dchess,1,Play chess across 3 boards!
games,chess,brutalchess,4,3D chess game with reflection of the chessmen
games,chess,chessx,5,chess database
games,chess,crazywa,1,AI engine for Wa Shogi and several other variants
games,chess,dreamchess,14,3D chess game
games,chess,eboard,2,GTK+ chessboard program
games,chess,ethereal-chess,1,UCI-compliant chess engine
games,chess,fairy-stockfish,1,"chess variant engine including support for Chess, Shogi and XiangQi variants"
games,chess,fairymax,1,xboard compatible chess and chess-variant engine
games,chess,fathom,1,Command-line for probing Syzygy tablebases
games,chess,fruit,1,"chess engine, to calculate chess moves"
games,chess,glaurung,1,"free UCI chess engine, to calculate chess moves"
games,chess,gnome-games,18,games for the GNOME desktop
games,chess,gnuchess,1,"Plays a game of chess, either against the user or against itself"
games,chess,gnuchess-book,2,Opening book for gnuchess
games,chess,gnushogi,1,"program to play shogi, the Japanese version of chess"
games,chess,gpsshogi,N/A,N/A
games,chess,gpsshogi-viewer,N/A,N/A
games,chess,hachu,1,"AI engine for many Shogi and Chess variants, including Chu, Sho, and Dai Shogi"
games,chess,hoichess,1,xboard compatible chess engine to play chess with
games,chess,jerry,N/A,N/A
games,chess,kdegames,140,games from the official KDE release
games,chess,leela-zero,1,"Go engine with no human-provided knowledge, modeled after the AlphaGo Zero paper"
games,chess,liblizzie-java,4,GUI for analyzing Go games in real time using Leela Zero
games,chess,pgn-extract,1,Portable Game Notation (PGN) extractor
games,chess,pgn2web,6,convert PGN chess game files into webpages
games,chess,phalanx,1,Chess playing program
games,chess,polyglot,1,"chess engine protocol adaptor, connects UCI engines to xboard"
games,chess,pychess,80,"Fully featured, nice looking, easy to use Chess Client"
games,chess,scid,9,chess database with play and training functionality
games,chess,shogivar,1,"UI to play many shogi variants, with builtin computer player"
games,chess,sjaakii,1,"Sjaak II - computer player for many Chess variants, including Shogi and XiangQi"
games,chess,sjeng,1,chess program that plays many variants
games,chess,stockfish,10,"strong chess engine, to play chess against"
games,chess,tagua,27,Board-game frontend for playing chess variants and other games
games,chess,texlive-games,57,TeX Live: Games typesetting
games,chess,toga2,1,"computer chess engine, calculates chess moves"
games,chess,tourney-manager,9,perl interface to run chess engine tournaments
games,chess,uci2wb,1,protocol adapter between XBoard/CECP and UCI/USI/UCCI engines
games,chess,xboard,2,X Window System Chess Board
games,chess,xshogi,1,X11 frontend to gnushogi
games,education,animals,1,Traditional AI animal guessing engine using a binary tree DB
games,education,atomix,1,puzzle game for building molecules out of separate atoms
games,education,basic256,3,educational BASIC programming environment for children
games,education,childsplay,N/A,N/A
games,education,gamine,12,Interactive game for young children
games,education,gcompris,78,transitional package for gcompris-qt
games,education,granule,2,flashcard program for learning new words
games,education,pysiogame,27,educational activity pack for kids
games,education,tuxmath,19,math game for kids with Tux
games,education,tuxtype,20,Educational Typing Tutor Game Starring Tux
games,education,xball,2,Simulate bouncing balls in a window
games,emulator,blastem,2,Fast and accurate Genesis emulator
games,emulator,cen64,1,Cycle-Accurate Nintendo 64 Simulator
games,emulator,desmume,6,Nintendo DS emulator
games,emulator,dolphin-emu,N/A,N/A
games,emulator,dosbox,4,"x86 emulator with Tandy/Herc/CGA/EGA/VGA/SVGA graphics, sound and DOS"
games,emulator,efp,2,Escape from Pong NES game
games,emulator,fceux,2,all-in-one NES/Famicom Emulator
games,emulator,fs-uae-arcade,21,Fullscreen game browser for FS-UAE
games,emulator,gngb,2,Color Gameboy emulator
games,emulator,gnome-video-arcade,79,Simple MAME frontend
games,emulator,hatari,6,"Emulator for the Atari ST, STE, TT, and Falcon computers"
games,emulator,higan,4,Accurate multi-system emulator
games,emulator,mame,77,Multiple Arcade Machine Emulator (MAME)
games,emulator,mednaffe,5,front-end for the Mednafen multi-system emulator
games,emulator,mgba-sdl,17,Game Boy Advance emulator (SDL frontend for mGBA)
games,emulator,mupen64plus-ui-console,2,console frontend for mupen64plus
games,emulator,nestopia,2,Nintendo Entertainment System/Famicom emulator
games,emulator,osmose-emulator,1,Sega Master System and Game Gear console emulator
games,emulator,pcsxr,2,Sony PlayStation emulator
games,emulator,retroarch,41,Simple frontend for the libretro library
games,emulator,stella,3,Atari 2600 Emulator for SDL & the X Window System
games,emulator,virtualjaguar,3,Cross-platform Atari Jaguar emulator
games,emulator,visualboyadvance,2,full featured Game Boy Advance emulator
games,emulator,wine,ERROR,Windows API implementation - standard suite
games,emulator,yabause,3,beautiful and under-rated Saturn emulator
games,emulator,zsnes,N/A,N/A
games,finest,0ad,700,Real-time strategy game of ancient warfare
games,finest,7kaa,32,Seven Kingdoms Ancient Adversaries: real-time strategy game
games,finest,a7xpg,13,chase action game
games,finest,abe,11,"side-scrolling game named ""Abe's Amazing Adventure"""
games,finest,ace-of-penguins,1,penguin-themed solitaire games
games,finest,alex4,2,Alex the Allegator 4 - a retro platform game
games,finest,armagetronad,3,3D Tron-like high speed game
games,finest,asc,42,turn-based strategy game
games,finest,atomix,1,puzzle game for building molecules out of separate atoms
games,finest,bastet,1,ncurses Tetris clone with a bastard algorithm
games,finest,berusky,6,Logic game based on Sokoban
games,finest,biniax2,11,logic game with arcade and tactics modes
games,finest,blobby,2,Volleyball game with blobs
games,finest,bloboats,3,Boat racing game
games,finest,blobwars,69,platform shooting game
games,finest,blockattack,14,puzzle game inspired by Tetris
games,finest,bsdgames,ERROR,collection of classic textual unix games
games,finest,btanks,29,fast 2D tank arcade game with multiplayer and split-screen modes
games,finest,burgerspace,9,Avoid evil foodstuffs and make burgers
games,finest,bzflag-client,11,3D first person tank battle game -- client
games,finest,caveexpress,21,2D platformer with physics-based gameplay
games,finest,cgoban,1,complete Go board
games,finest,chromium-bsu,4,"fast paced, arcade-style, scrolling space shooter"
games,finest,cultivation,1,game about the interactions within a gardening community
games,finest,dreamchess,14,3D chess game
games,finest,empire,1,war game of the century
games,finest,enigma,41,Game where you control a marble with the mouse
games,finest,epiphany,10,clone of Boulder Dash game
games,finest,extremetuxracer,41,"3D racing game featuring Tux, the Linux penguin"
games,finest,flare-game,130,fantasy single-player 2D action role-playing game
games,finest,flightgear,1900,Flight Gear Flight Simulator
games,finest,foobillardplus,31,3D OpenGL Billiard Game
games,finest,freeciv,28,Civilization turn based strategy game
games,finest,freecol,73,open source remake of the old Colonization
games,finest,freedroidrpg,220,Isometric RPG influenced by Paradroid
games,finest,freeorion,130,turn-based space empire and galactic conquest game
games,finest,fretsonfire,N/A,N/A
games,finest,frozen-bubble,38,cool game where you pop out the bubbles!
games,finest,funguloids,18,space-flying-mushroom-picking-simulator game
games,finest,funnyboat,17,side scrolling arcade shooter game on a steamboat
games,finest,gnubg,9,graphical or console backgammon program with analysis
games,finest,gtkatlantic,1,Game like Monopoly
games,finest,gweled,N/A,N/A
games,finest,hedgewars,160,"Funny turn-based artillery game, featuring fighting hedgehogs!"
games,finest,holotz-castle,11,platform game with high doses of mystery
games,finest,hyperrogue,11,non-euclidean graphical rogue-like game
games,finest,kobodeluxe,3,game of space battle
games,finest,koules,1,abstract space action game
games,finest,lbreakout2,11,ball-and-paddle game with nice graphics
games,finest,lincity-ng,54,City simulator game with polished graphics
games,finest,liquidwar,4,truly original multiplayer wargame
games,finest,lmemory,1,"Children's game based on the ""memory"" card game"
games,finest,lugaru,35,third person ninja rabbit fighting game
games,finest,manaplus,11,Extended client for Evol Online and The Mana World
games,finest,marsshooter,71,ridiculous space shooter governed by the laws of gravity
games,finest,megaglest,ERROR,3D multi-player real time strategy game
games,finest,micropolis,11,real-time city management simulator
games,finest,minetest,12,Multiplayer infinite-world block sandbox
games,finest,nethack-console,2,dungeon crawl game - text-based interface
